,lat,lon,time
236,48.157084,17.117679,20250825140408
237,48.157063,17.117613,20250825140409
238,48.157006,17.117575,20250825140410
239,48.156994,17.11751,20250825140411
240,48.157013,17.117431,20250825140412
241,48.157016,17.11736,20250825140413
242,48.156992,17.117335,20250825140414
243,48.156989,17.117249,20250825140415
244,48.156982,17.117168,20250825140416
245,48.156963,17.117106,20250825140417
246,48.156956,17.11709,20250825140418
247,48.156934,17.117137,20250825140419
248,48.156919,17.117174,20250825140420
249,48.156879,17.117246,20250825140421
250,48.1568,17.117329,20250825140422
251,48.156748,17.117396,20250825140423
252,48.156706,17.1175,20250825140424
253,48.156662,17.117575,20250825140425
254,48.156618,17.117633,20250825140426
255,48.156573,17.11768,20250825140427
256,48.156546,17.117745,20250825140428
257,48.156514,17.117783,20250825140429
258,48.156411,17.117874,20250825140430
259,48.156391,17.117946,20250825140431
260,48.156362,17.11798,20250825140432
261,48.156328,17.118017,20250825140433
262,48.156304,17.118031,20250825140434
263,48.156294,17.118074,20250825140435
264,48.156279,17.118064,20250825140436
265,48.156271,17.118025,20250825140437
266,48.156251,17.118032,20250825140438
267,48.156243,17.118033,20250825140439
268,48.156234,17.118035,20250825140440
269,48.156211,17.118009,20250825140441
270,48.156193,17.117923,20250825140442
271,48.156168,17.117881,20250825140443
272,48.156119,17.117781,20250825140444
273,48.156055,17.11774,20250825140445
274,48.156004,17.117685,20250825140446
275,48.155982,17.117618,20250825140447
276,48.155949,17.117546,20250825140448
277,48.155908,17.11749,20250825140449
278,48.155862,17.117416,20250825140450
279,48.155823,17.117369,20250825140451
280,48.155779,17.117379,20250825140452
281,48.155727,17.117371,20250825140453
282,48.155685,17.117279,20250825140454
283,48.155631,17.117258,20250825140455
284,48.155602,17.11718,20250825140456
285,48.155535,17.117101,20250825140457
286,48.155474,17.117043,20250825140458
287,48.15542,17.11697,20250825140459
288,48.155382,17.116898,20250825140500
289,48.155346,17.116828,20250825140501
290,48.15531,17.116759,20250825140502
291,48.155255,17.116694,20250825140503
292,48.155221,17.116596,20250825140504
293,48.155168,17.116533,20250825140505
294,48.155108,17.116517,20250825140506
295,48.155073,17.116493,20250825140507
296,48.155021,17.116416,20250825140508
297,48.154963,17.116355,20250825140509
298,48.15491,17.116269,20250825140510
299,48.154862,17.116154,20250825140511
300,48.154817,17.116072,20250825140512
301,48.154772,17.115996,20250825140513
302,48.15475,17.115921,20250825140514
303,48.154713,17.115834,20250825140515
304,48.154647,17.115813,20250825140516
305,48.154612,17.115723,20250825140517
306,48.154555,17.115687,20250825140518
307,48.154492,17.115687,20250825140519
308,48.154409,17.11575,20250825140520
309,48.154351,17.115857,20250825140521
310,48.154391,17.11598,20250825140522
311,48.154281,17.11621,20250825140523
312,48.154293,17.116351,20250825140524
313,48.154289,17.11648,20250825140525
314,48.154319,17.1166,20250825140526
315,48.154306,17.116735,20250825140527
316,48.154342,17.116821,20250825140528
317,48.154336,17.116904,20250825140529
318,48.154315,17.117056,20250825140530
319,48.154323,17.117175,20250825140531
320,48.154332,17.117307,20250825140532
321,48.1543,17.117408,20250825140533
322,48.154322,17.11752,20250825140534
323,48.15432,17.117635,20250825140535
324,48.154316,17.117729,20250825140536
325,48.154307,17.117825,20250825140537
326,48.154287,17.117925,20250825140538
327,48.15428,17.118045,20250825140539
328,48.154278,17.118144,20250825140540
329,48.15427,17.118247,20250825140541
330,48.154262,17.118372,20250825140542
331,48.154241,17.118479,20250825140543
332,48.154223,17.118591,20250825140544
333,48.154226,17.118696,20250825140545
334,48.154243,17.118793,20250825140546
335,48.154277,17.118878,20250825140547
336,48.154296,17.118939,20250825140548
337,48.154312,17.118988,20250825140549
338,48.154316,17.119008,20250825140550
339,48.154324,17.119017,20250825140551
340,48.154332,17.119025,20250825140552
341,48.15434,17.119034,20250825140553
342,48.154331,17.119034,20250825140554
343,48.15433,17.119044,20250825140555
344,48.154329,17.119054,20250825140556
345,48.154328,17.119064,20250825140557
346,48.154327,17.119074,20250825140558
347,48.154326,17.119084,20250825140559
348,48.154325,17.119094,20250825140600
349,48.154324,17.119104,20250825140601
350,48.154323,17.119114,20250825140602
351,48.154322,17.119124,20250825140605
352,48.154321,17.119134,20250825140606
353,48.15432,17.119144,20250825140607
354,48.154343,17.119185,20250825140608
355,48.154348,17.119244,20250825140609
356,48.154372,17.119297,20250825140610
357,48.154402,17.119344,20250825140611
358,48.154438,17.119384,20250825140612
359,48.154446,17.119451,20250825140613
360,48.154438,17.119566,20250825140614
361,48.154434,17.119656,20250825140615
362,48.154419,17.119748,20250825140616
363,48.154402,17.119843,20250825140617
364,48.154393,17.119913,20250825140618
365,48.154362,17.119944,20250825140619
366,48.154333,17.120021,20250825140620
367,48.15429,17.120086,20250825140621
368,48.15426,17.120162,20250825140622
369,48.154244,17.120244,20250825140623
370,48.154214,17.120323,20250825140624
371,48.154194,17.120406,20250825140625
372,48.154171,17.120473,20250825140626
373,48.15414,17.12056,20250825140627
374,48.154128,17.120639,20250825140628
375,48.154107,17.120716,20250825140629
376,48.154072,17.1208,20250825140630
377,48.154044,17.120885,20250825140631
378,48.154021,17.120941,20250825140632
379,48.153991,17.121007,20250825140633
380,48.153973,17.121094,20250825140634
381,48.153931,17.121168,20250825140635
382,48.153902,17.121237,20250825140636
383,48.153867,17.1213,20250825140637
384,48.153832,17.121374,20250825140638
385,48.153778,17.12144,20250825140639
386,48.153718,17.121507,20250825140640
387,48.153685,17.12158,20250825140641
388,48.15364,17.121653,20250825140642
389,48.153602,17.121725,20250825140643
390,48.153567,17.121789,20250825140644
391,48.153555,17.121853,20250825140645
392,48.153547,17.121893,20250825140646
393,48.153547,17.121905,20250825140647
394,48.153554,17.121899,20250825140648
395,48.153554,17.121899,20250825140649
396,48.153561,17.121915,20250825140650
397,48.153569,17.12193,20250825140651
398,48.153562,17.121951,20250825140652
399,48.153556,17.121973,20250825140653
400,48.153545,17.121999,20250825140654
401,48.153537,17.122008,20250825140655
402,48.153529,17.122017,20250825140656
403,48.153516,17.122061,20250825140657
404,48.153513,17.122076,20250825140658
405,48.153494,17.122129,20250825140659
406,48.153487,17.122184,20250825140700
407,48.153507,17.122229,20250825140701
408,48.153549,17.122295,20250825140702
409,48.153584,17.122326,20250825140703
410,48.153619,17.122375,20250825140704
411,48.153672,17.122363,20250825140705
412,48.153716,17.122436,20250825140706
413,48.153732,17.122538,20250825140707
414,48.153769,17.122591,20250825140708
415,48.153814,17.122655,20250825140709
416,48.153862,17.12272,20250825140710
417,48.153906,17.122777,20250825140711
418,48.153953,17.122843,20250825140712
419,48.153988,17.122925,20250825140713
420,48.154052,17.122988,20250825140714
421,48.154107,17.12306,20250825140715
422,48.154141,17.123128,20250825140716
423,48.154178,17.123202,20250825140717
424,48.154216,17.123279,20250825140718
425,48.154244,17.123359,20250825140719
426,48.154293,17.123419,20250825140720
427,48.154342,17.123478,20250825140721
428,48.15439,17.123549,20250825140722
429,48.154437,17.123618,20250825140723
430,48.154492,17.123675,20250825140724
431,48.154535,17.123703,20250825140725
432,48.154597,17.123772,20250825140726
433,48.154634,17.123838,20250825140727
434,48.154678,17.123911,20250825140728
435,48.15473,17.123974,20250825140729
436,48.154786,17.12403,20250825140730
437,48.154849,17.124102,20250825140731
438,48.1549,17.124169,20250825140732
439,48.154957,17.124219,20250825140733
440,48.155009,17.12427,20250825140734
441,48.155067,17.124338,20250825140735
442,48.155126,17.124416,20250825140736
443,48.155165,17.124496,20250825140737
444,48.155201,17.124577,20250825140738
445,48.155251,17.124653,20250825140739
446,48.155319,17.124724,20250825140740
447,48.15539,17.124769,20250825140741
448,48.155446,17.12482,20250825140742
449,48.155488,17.124881,20250825140743
450,48.155541,17.124988,20250825140744
451,48.155589,17.125056,20250825140745
452,48.155642,17.125124,20250825140746
453,48.155696,17.125194,20250825140747
454,48.155754,17.125263,20250825140748
455,48.155805,17.125341,20250825140749
456,48.155857,17.125421,20250825140750
457,48.155911,17.125493,20250825140751
458,48.155965,17.125567,20250825140752
459,48.156013,17.125625,20250825140753
460,48.156061,17.125689,20250825140754
461,48.156112,17.125777,20250825140755
462,48.156166,17.12583,20250825140756
463,48.156209,17.125841,20250825140757
464,48.156272,17.125926,20250825140758
465,48.156334,17.126002,20250825140759
466,48.156404,17.12605,20250825140800
467,48.156444,17.126114,20250825140801
468,48.156484,17.126188,20250825140802
469,48.156534,17.126258,20250825140803
470,48.156589,17.12632,20250825140804
471,48.156642,17.126418,20250825140805
472,48.15669,17.126504,20250825140806
473,48.156762,17.126587,20250825140807
474,48.156815,17.126674,20250825140808
475,48.156862,17.126741,20250825140809
